id;npcId;text
1;1;The sea wasn't always like this.
2;1;Too many things changed after the infection. Fishwalkers have appeared near the docks. I, uh, haven't been to that old place in a while, but... Now they're coming here, too.
3;1;Take care out there.
4;1;Yep... Thanks... Leave the rest to yourself. It'll patch me right up. Pick up all of these things you see, if 'yer don't wanna become fish food, heh. I just need a little rest...
5;1;While runnin' back home 'ere, I met one fish folk on the path. Grazed me, 'is all, but... Hey, lad, can ya fetch me this herb decoction? *He pointed at something on the table.*
6;3;Using diving equipment enhances your super attack. Each piece you find increases the number of crosses and the speed of the aiming game. Find all three!
7;3;Good luck, young fisherman.
8;4;The fishwalkers are terrorizing us. If you kill 10 of them, I will reward you.
9;4;You have killed K monsters. Come back when you reach 10.
10;4;Thank you! Here is your reward.
11;1;I need a Herbal Decoction. Can you bring me one?
12;1;Thank you! Here is your reward.
13;1;You don't have a Herbal Decoction. Find one and come back.
14;5;I feel terrible... Please, I need an antidote.
15;5;Thank you! You saved my life. Take this.
16;5;I don't have an antidote... I'm doomed.
17;6;Help me! I've seen monsters. Kill 15 of them and I'll reward you.
18;6;You did it! Here's a helmet.
19;6;You've killed some monsters. Need 15.
20;1;You're not from around here, are ya? *The man chuckled from sheer cruel irony, his laugh loud and piercing.* Tell ya what, kid. You don't wanna go there, and you definitely don't wanna get attacked by one. Run back where ya came from while you can.
